nameWithOwner,createdAt,primaryLanguage,updatedAt,pullRequests
godotengine/godot,2014-01-04T16:05:36Z,C++,2025-03-14T17:51:16Z,36591
mui/material-ui,2014-08-18T19:11:54Z,TypeScript,2025-03-14T17:32:20Z,20015
excalidraw/excalidraw,2020-01-02T01:04:43Z,TypeScript,2025-03-14T18:21:23Z,3576
ant-design/ant-design,2015-04-24T15:37:24Z,TypeScript,2025-03-14T18:39:25Z,15085
ripienaar/free-for-dev,2015-03-18T21:06:26Z,HTML,2025-03-14T18:21:25Z,2663
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,JavaScript,2025-03-14T18:21:24Z,149
deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,Python,2025-03-14T18:39:28Z,17
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,Shell,2025-03-14T18:21:26Z,434
fatedier/frp,2015-12-21T15:24:59Z,Go,2025-03-14T18:28:25Z,657
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,Java,2025-03-14T18:42:31Z,1460
iptv-org/iptv,2018-11-14T22:00:57Z,JavaScript,2025-03-14T18:40:43Z,6512
nvbn/thefuck,2015-04-08T15:08:04Z,Python,2025-03-14T18:34:55Z,481
tauri-apps/tauri,2019-07-13T09:09:37Z,Rust,2025-03-14T18:21:25Z,4851
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,,2025-03-14T18:33:51Z,34
puppeteer/puppeteer,2017-05-09T22:16:13Z,TypeScript,2025-03-14T18:28:53Z,5173
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,Vue,2025-03-14T18:21:25Z,311
pytorch/pytorch,2016-08-13T05:26:41Z,Python,2025-03-14T18:21:35Z,6008
neovim/neovim,2014-01-31T13:39:22Z,Vim Script,2025-03-14T17:33:44Z,14807
mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,,2025-03-14T18:21:24Z,99
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,TypeScript,2025-03-14T18:03:32Z,2814
deepseek-ai/DeepSeek-R1,2025-01-20T11:57:28Z,,2025-03-14T18:05:25Z,7
storybookjs/storybook,2016-03-18T04:23:44Z,TypeScript,2025-03-14T18:21:25Z,10836
microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,JavaScript,2025-03-14T18:18:35Z,499
rustdesk/rustdesk,2020-09-28T15:36:08Z,Rust,2025-03-14T18:23:41Z,3368
open-webui/open-webui,2023-10-06T22:08:27Z,JavaScript,2025-03-14T18:40:21Z,1823
nvm-sh/nvm,2010-04-15T17:47:47Z,Shell,2025-03-14T18:09:39Z,725
shadcn-ui/ui,2023-01-04T12:43:27Z,TypeScript,2025-03-14T18:31:54Z,521
django/django,2012-04-28T02:47:18Z,Python,2025-03-14T18:02:01Z,9569
florinpop17/app-ideas,2019-02-25T18:36:56Z,,2025-03-14T18:21:26Z,149
bitcoin/bitcoin,2010-12-19T15:16:43Z,C++,2025-03-14T18:21:48Z,14977
langgenius/dify,2023-04-12T07:40:24Z,TypeScript,2025-03-14T18:23:53Z,5213
fastapi/fastapi,2018-12-08T08:21:47Z,Python,2025-03-14T18:21:24Z,2584
ChatGPTNextWeb/NextChat,2023-03-10T18:27:54Z,TypeScript,2025-03-14T18:21:25Z,876
sveltejs/svelte,2016-11-20T18:13:05Z,JavaScript,2025-03-14T18:21:25Z,5532
animate-css/animate.css,2011-10-12T10:07:38Z,CSS,2025-03-14T18:20:52Z,315
gothinkster/realworld,2016-02-26T20:49:53Z,TypeScript,2025-03-14T18:21:25Z,433
opencv/opencv,2012-07-19T09:40:17Z,C++,2025-03-14T18:21:24Z,12780
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,JavaScript,2025-03-14T18:21:50Z,953
gin-gonic/gin,2014-06-16T23:57:25Z,Go,2025-03-14T18:21:25Z,1046
laravel/laravel,2011-06-08T03:06:08Z,Blade,2025-03-14T17:17:06Z,1615
macrozheng/mall,2018-04-04T01:11:44Z,Java,2025-03-14T18:14:05Z,1
supabase/supabase,2019-10-12T05:56:49Z,TypeScript,2025-03-14T18:30:08Z,11347
gohugoio/hugo,2013-07-04T15:26:26Z,Go,2025-03-14T18:21:24Z,2808
tonsky/FiraCode,2014-11-11T19:32:38Z,Clojure,2025-03-14T18:26:49Z,136
openai/whisper,2022-09-16T20:02:54Z,Python,2025-03-14T18:18:17Z,110
tensorflow/models,2016-02-05T01:15:20Z,Python,2025-03-14T14:55:20Z,2340
doocs/advanced-java,2018-10-06T11:38:30Z,Java,2025-03-14T18:21:52Z,86
home-assistant/core,2013-09-17T07:29:48Z,Python,2025-03-14T18:35:23Z,70527
mermaid-js/mermaid,2014-11-01T23:52:32Z,TypeScript,2025-03-14T18:21:49Z,2277
oven-sh/bun,2021-04-14T00:48:17Z,Zig,2025-03-14T17:05:52Z,4912
